open,high,low,close,volume,vwap,timestamp,transactions,otc
118.4,120.5,118.17,118.53,12417467.0,119.2072,2024-08-19 04:00:00,115102,
118.65,118.65,114.51,114.58,15631967.0,115.4321,2024-08-20 04:00:00,153200,
115.01,115.57,113.76,113.85,11752358.0,114.4402,2024-08-21 04:00:00,112139,
113.78,115.01,113.635,114.73,10609501.0,114.5449,2024-08-22 04:00:00,92642,
115.025,116.72,115.025,116.32,10381431.0,116.1724,2024-08-23 04:00:00,93885,
117.76,118.94,116.92,118.81,13671016.0,118.4081,2024-08-26 04:00:00,120555,
118.96,119.41,117.4,117.68,9991631.0,117.9803,2024-08-27 04:00:00,97289,
117.0,117.58,116.26,116.52,10742867.0,116.6776,2024-08-28 04:00:00,91315,
117.2,118.79,116.35,118.13,10753895.0,118.0518,2024-08-29 04:00:00,104299,
116.79,118.02,116.29,117.94,13284689.0,117.4381,2024-08-30 04:00:00,108509,
115.84,116.09,114.04,115.47,15725139.0,115.2785,2024-09-03 04:00:00,148432,
115.29,116.15,113.975,114.06,12620584.0,114.7213,2024-09-04 04:00:00,122612,
115.07,115.28,113.07,113.17,17200770.0,113.795,2024-09-05 04:00:00,123091,
113.59,114.18,111.732,112.64,13467747.0,112.6308,2024-09-06 04:00:00,139994,
112.87,116.15,112.66,115.01,21645325.0,115.0335,2024-09-09 04:00:00,198084,
115.1,115.4,110.17,110.82,20913405.0,111.5342,2024-09-10 04:00:00,194372,
110.775,110.95,107.77,109.72,19571945.0,109.3108,2024-09-11 04:00:00,190975,
109.9,111.33,109.7609,111.23,15923318.0,110.7751,2024-09-12 04:00:00,117249,
111.47,112.47,110.93,111.15,10035392.0,111.5503,2024-09-13 04:00:00,107794,
112.05,113.085,111.69,112.71,11729034.0,112.5057,2024-09-16 04:00:00,111856,
112.32,114.37,112.12,114.18,12202556.0,113.9443,2024-09-17 04:00:00,115271,
114.11,115.63,113.81,114.58,12569929.0,114.546,2024-09-18 04:00:00,121033,
116.16,117.575,115.19,116.0,12660642.0,116.4072,2024-09-19 04:00:00,124542,
115.46,115.51,114.25,115.27,36206195.0,115.1625,2024-09-20 04:00:00,125545,
